Type	Objet ID	Champ ID	Nom technique	Label actuel (EN)	Label FR (à modifier)	Description	Type de champ	Custom?	Actif?	Système?
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	28edb6e4-de5a-41b0-b336-7be34b244bbe	pointOfContactForOpportunities	Opportunities		List of opportunities for which that person is the point of contact	RELATION	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	f81eb5bb-b4f0-4edb-a65b-282a29d8345c	phones	Phones	Téléphones	Contact's phone numbers	PHONES	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	4b725dfa-bfd2-480d-9439-f60d31ba7d0e	taskTargets	Tasks		Tasks tied to the contact	RELATION	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	4bc93b78-74c3-47ce-b613-42338e61d622	updatedBy	Updated by		The workspace member who last updated the record	ACTOR	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	c7d9dbe4-0102-4e60-9a56-1150dcfc0b92	xLink	X	X (Twitter)	Contact's X/Twitter account	LINKS	Non	Oui	Non
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	3b5c1be8-e20a-4e36-8584-284a56c8c5a2	attachments	Attachments		Attachments linked to the contact.	RELATION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	0b4733ca-1af5-4186-b83e-ab34c1b52148	avatarUrl	Avatar	Avatar	Contact's avatar	TEXT	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	4ce0a2e9-d208-49ee-b394-7212d993f57c	avatarFile	Avatar File		Contact's avatar file	FILES	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	3c5cc1c9-9c1c-44d8-b983-7c0010d41ca2	calendarEventParticipants	Calendar Event Participants		Calendar Event Participants	RELATION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	9c9d95a8-1004-4d7a-8c4d-d2731e3dea55	timelineActivities	Events		Events linked to the person	RELATION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	3d691bc2-f156-4a3d-a23e-81ebea00f034	favorites	Favorites		Favorites linked to the contact	RELATION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	5083640a-e515-4f9e-aab2-08494a058a3e	id	Id		Id	UUID	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	aaec2f6f-f846-4072-a685-f8f721480b8c	messageParticipants	Message Participants		Message Participants	RELATION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	7b2479f5-e3d5-436f-a9a0-3829c91188bf	position	Position	Position	Person record Position	POSITION	Non	Oui	Oui
  champ	d7c16274-ec3c-495c-ac1f-fb7a680f89f0	69058a4a-f783-4b6b-ad31-13b168ef3030	searchVector	Search vector	Vecteur de recherche	Field used for full-text search	TS_VECTOR	Non	Oui	Oui
OBJET	4c134372-3420-49b5-98f2-2536c7e7e842		workflowAutomatedTrigger / workflowAutomatedTriggers	Déclencheur de flux / Déclencheur de fluxs		A workflow automated trigger		Non	Oui	
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	21c9e640-4a96-4022-a86c-e39c443be1f7	type	Automated Trigger Type	Type	The workflow automated trigger type	SELECT	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	6a6537f7-cdf6-45d3-a928-ce807ac50b86	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	78914143-0358-45fe-bdcc-397bd90b9bc7	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	46337126-a1b7-4d04-beee-3f2eb105fd3f	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	cc875076-3744-4d93-beb5-e85a2fe538cc	settings	Settings		The workflow automated trigger settings	RAW_JSON	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	39a81647-6929-41dc-8fcb-53ff510eef77	workflow	Workflow		WorkflowAutomatedTrigger workflow	RELATION	Non	Oui	Non
  champ	4c134372-3420-49b5-98f2-2536c7e7e842	c5af3ccd-06cf-4974-ad47-7b40594bc687	id	Id		Id	UUID	Non	Oui	Oui
OBJET	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d		favoriteFolder / favoriteFolders	Dossier(s) Favori(s) / Dossier(s) Favori(s)s		A favorite folder		Non	Oui	
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	57d8b75d-2f2b-49cc-9a58-38a608d1071b	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	c5eda677-b089-4156-8624-449cdc66076f	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	23f4e290-bf25-47c2-a740-49c54438e38b	favorites	Favorites		Favorites in this folder	RELATION	Non	Oui	Non
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	f5b96099-3ff6-4005-966a-3aa2a731466a	updatedAt	Last update	Date de modification	Last time the record was changed	DATE_TIME	Non	Oui	Non
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	0dc96d12-cc98-4473-9b06-fe1b48790c19	name	Name	Nom	Name of the favorite folder	TEXT	Non	Oui	Non
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	cf28094e-700b-4afd-8453-cb16d055ef57	id	Id		Id	UUID	Non	Oui	Oui
  champ	3306ccd5-476a-4b0e-aaa9-c17169eb8e3d	0c5ecccd-77bc-4221-bbd6-89e939b25e29	position	Position	Position	Favorite folder position	NUMBER	Non	Oui	Oui
OBJET	d7fd7751-b173-4f12-afe9-d783c3170863		company / companies	Entreprise / Entreprises	Entreprise / Entreprises	A company		Non	Oui	
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	c681b04b-ccb0-4b5b-9967-50f17cffa158	accountOwner	Account Owner	Responsable du compte	Your team member responsible for managing the company account	RELATION	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	ab13efa5-1475-4d8f-9225-33188df9e37c	address	Address	Adresse	Address of the company	ADDRESS	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	e7ad297d-db49-4b2a-bba9-efab3585cb5c	annualRecurringRevenue	ARR	Revenu annuel récurrent	Annual Recurring Revenue: The actual or estimated annual revenue of the company	CURRENCY	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	6c147f8b-0b12-478c-bd75-0232f5d818c4	createdBy	Created by	Créé par	The creator of the record	ACTOR	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	328a9f70-1d4e-4413-b51c-6ee8e414485e	createdAt	Creation date	Date de création	Creation date	DATE_TIME	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	a1cb75b0-6052-44f3-aa10-98dd43ea27bc	deletedAt	Deleted at	Date de suppression	Date when the record was deleted	DATE_TIME	Non	Oui	Non
  champ	d7fd7751-b173-4f12-afe9-d783c3170863	2179f93f-8e2c-4f9c-a33e-6572cb7a4f21	domainName	Domain Name	Nom de domaine	The company website URL. We use this url to fetch the company icon	LINKS	Non	Oui	Non
